fecha_hora,store_id,tipo,estado,email,estado_envio,fecha_envio
2025-08-08 17:50:26,000301,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,001102,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,001701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,002901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,003102,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,003103,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,005501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,005801,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,008901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,009901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,010001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,011001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,012001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,012401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,012501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,013501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,013701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,013703,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,014501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,014901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,016702,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,017701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,019301,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,019401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,019501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,019701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,021401,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,022501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,023601,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,023602,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,024101,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,024901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,025701,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,026901,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,027201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,027301,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,028201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,028302,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,028501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,029001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,029201,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,029501,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,029601,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,030001,correo,enviado,,enviado,2025-08-08 17:50:26
2025-08-08 17:50:26,031901,correo,enviado,,enviado,2025-08-08 17:50:26
